date,change_3
2022-02-24,NA
2022-02-25,52
2022-02-26,55
2022-02-27,54
2022-02-28,160
2022-03-01,37
2022-03-02,112
2022-03-03,59
2022-03-04,93
2022-03-05,102
2022-03-06,94
2022-03-07,52
2022-03-08,75
2022-03-09,24
2022-03-10,40
2022-03-11,95
2022-03-12,32
2022-03-13,13
2022-03-14,113
2022-03-15,46
2022-03-16,49
2022-03-17,109
2022-03-18,66
2022-03-19,49
2022-03-20,78
2022-03-21,3
2022-03-22,42
2022-03-23,46
2022-03-24,35
2022-03-25,71
2022-03-26,31
2022-03-27,99
2022-03-28,33
2022-03-29,66
2022-03-30,26
2022-03-31,36
2022-04-01,131
2022-04-02,8
2022-04-03,107
2022-04-04,44
2022-04-05,54
2022-04-06,81
2022-04-07,36
2022-04-08,8
2022-04-09,86
2022-04-10,44
2022-04-11,24
2022-04-12,29
2022-04-13,85
2022-04-14,13
2022-04-15,2
2022-04-16,18
2022-04-17,43
2022-04-18,32
2022-04-19,5
2022-04-20,47
2022-04-21,36
2022-04-22,0
2022-04-23,46
2022-04-24,29
2022-04-25,43
2022-04-26,21
2022-04-27,22
2022-04-28,8
2022-04-29,11
2022-04-30,51
2022-05-01,8
2022-05-02,23
2022-05-03,32
2022-05-04,43
2022-05-05,28
2022-05-06,26
2022-05-07,4
2022-05-08,39
2022-05-09,56
2022-05-10,9
2022-05-11,44
2022-05-12,0
2022-05-13,36
2022-05-14,16
2022-05-15,0
2022-05-16,0
2022-05-17,0
2022-05-18,0
2022-05-19,6
2022-05-20,28
2022-05-21,23
2022-05-22,62
2022-05-23,121
2022-05-24,118
2022-05-25,67
2022-05-26,46
2022-05-27,9
2022-05-28,18
2022-05-29,5
2022-05-30,9
2022-05-31,4
2022-06-01,14
2022-06-02,6
2022-06-03,2
2022-06-04,24
2022-06-05,0
2022-06-06,8
2022-06-07,9
2022-06-08,17
2022-06-09,2
2022-06-10,33
2022-06-11,6
2022-06-12,26
2022-06-13,11
2022-06-14,4
2022-06-15,0
2022-06-16,-9
2022-06-17,0
2022-06-18,-7
2022-06-19,22
2022-06-20,0
2022-06-21,16
2022-06-22,0
2022-06-23,0
2022-06-24,0
2022-06-25,0
2022-06-26,9
2022-06-27,8
2022-06-28,71
2022-06-29,48
2022-06-30,-1
2022-07-01,0
2022-07-02,58
2022-07-03,-1
2022-07-04,7
2022-07-05,12
2022-07-06,5
2022-07-07,31
2022-07-08,20
2022-07-09,16
2022-07-10,6
2022-07-11,19
2022-07-12,9
2022-07-13,14
2022-07-14,16
2022-07-15,12
2022-07-16,13
2022-07-17,10
2022-07-18,-24
2022-07-19,19
2022-07-20,11
2022-07-21,0
2022-07-22,0
2022-07-23,31
2022-07-24,22
2022-07-25,8
2022-07-26,10
2022-07-27,132
2022-07-28,9
